,Windows,Mac,Linux,engine,release_date,genre,theme,players,score_final,rating,link
11281,True, False, False,Custom Built,Released 2010,Adventure,Comic,Single Player,10.0,2 v, http://indiedb.com/games/app-attack
11282,True, False, False,Quake Engine,Released 2005,First Person Shooter,Horror,Single & Multiplayer,8.9,21 , http://indiedb.com/games/transfusion
11283,True, True, False,Unity,Released 2010,Real Time Strategy,Comedy,Single Player,9.7,11 , http://indiedb.com/games/imachination
11284,True, False, False,Wintermute,Released 2007,Puzzle Compilation,Comedy,Single Player,8.2,11 , http://indiedb.com/games/chivalry-is-not-dead
11285,True, False, False,Unknown,Released 2006,Car Combat,Comedy,Single & Multiplayer,7.9,14 , http://indiedb.com/games/meteor-2
11286,True, False, False,Unknown,Released 2005,Realistic Sim,Realism,Single & Multiplayer,7.7,7 v, http://indiedb.com/games/future-pinball
11287,True, False, False,Unknown,Released 1999,Third Person Shooter,War,Single & Multiplayer,10.0,7 v, http://indiedb.com/games/meteor
11288,True, False, False,Custom Built,Released 2010,Platformer,Sci-Fi,Multiplayer,8.6,5 v, http://indiedb.com/games/booster-trooper
11289,True, False, False,Custom Built,Released 2009,Futuristic Sim,Sci-Fi,Single & Multiplayer,8.4,43 , http://indiedb.com/games/evochron-legends
11290,True, False, False,Custom Built,Released 2010,Alternative Sport,War,Single Player,6.1,7 v, http://indiedb.com/games/window-pong
11291,True, False, False,Custom Built,Released 2009,Platformer,Sci-Fi,Single & Multiplayer,7.5,18 , http://indiedb.com/games/sonic-nebulous
11292,True, False, False,Torque Game Engine,Released 2010,Puzzle Compilation,Comic,Single Player,8.0,1 v, http://indiedb.com/games/flipper
11293,True, False, False,DarkPlaces engine,Released 2007,First Person Shooter,Horror,Single Player,8.4,40 , http://indiedb.com/games/the-hunted-chronicle-2
11294,True, False, False,DarkPlaces engine,Released 2007,First Person Shooter,Horror,Single Player,7.3,27 , http://indiedb.com/games/the-hunted
11295,True, True, True,DarkPlaces engine,Released 2007,First Person Shooter,Fantasy,Multiplayer,8.9,38 , http://indiedb.com/games/darsana
11297,True, False, False,Haaf's Game Engine,Released 2009,Puzzle Compilation,Comedy,Single Player,7.0,2 v, http://indiedb.com/games/grandpas-candy-factory
11298,True, True, False,Custom Built,Released 2008,Family,Comic,Single Player,7.2,5 v, http://indiedb.com/games/crayon-ball
11299,True, False, False,Custom Built,Released 2010,Platformer,Comic,Single Player,9.8,5 v, http://indiedb.com/games/flight-of-the-strihuhn
11300,True, False, False,Wintermute,Released 2005,Adventure,Horror,Single Player,8.4,16 , http://indiedb.com/games/the-white-chamber
11301,True, True, True,Custom Built,Released 2007,Real Time Strategy,War,Single & Multiplayer,9.1,15 , http://indiedb.com/games/scorched3d
11302,True, True, True,Quake Engine,Released 2010,First Person Shooter,Sci-Fi,Multiplayer,8.6,7 v, http://indiedb.com/games/battlescape
11303,True, False, False,Custom Built,Released 2010,Platformer,Horror,Single & Multiplayer,3.3,4 v, http://indiedb.com/games/encore
11304,True, False, False,Custom Built,Released 1983,Adventure,Comedy,Single Player,8.6,8 v, http://indiedb.com/games/super-adventure-game-land
11305,True, False, False,Custom Built,Released 2009,Tactical Shooter,Fighter,Single Player,2.3,4 v, http://indiedb.com/games/bullet-pong
11306,True, False, False,Custom Built,Released 2009,Tactical Shooter,Sci-Fi,Single Player,3.0,2 v, http://indiedb.com/games/invaders-overload
11307,True, False, False,Custom Built,Released 2009,Platformer,Comedy,Single Player,3.8,5 v, http://indiedb.com/games/operation-sourcecode
11308,True, False, False,Custom Built,Released 2010,Combat Sim,War,Single Player,8.0,3 v, http://indiedb.com/games/orex-game
11309,True, False, False,Torque Game Engine Advanced,Released 2010,Racing,Sport,Single & Multiplayer,8.0,3 v, http://indiedb.com/games/3d-rc-racing-se
11310,True, True, False,Custom Built,Released 2010,Alternative Sport,Sport,Single Player,10.0,1 v, http://indiedb.com/games/new-star-tennis
11311,True, False, False,GameMaker: Studio,Released 2008,Realistic Sim,Realism,Single Player,3.2,9 v, http://indiedb.com/games/wright-flyer
11312,True, False, False,Custom Built,Released 2010,Real Time Strategy,Sci-Fi,Multiplayer,8.5,2 v, http://indiedb.com/games/blimp-wars
11313,True, False, False,Custom Built,Released 2008,Adventure,Sci-Fi,MMO,4.5,6 v, http://indiedb.com/games/golemizer
11314,True, False, False,Custom Built,Released 2009,First Person Shooter,Sci-Fi,Single Player,8.7,24 , http://indiedb.com/games/devils-tuning-fork
11315,True, False, False,Unknown,Released 2010,Platformer,Fantasy,Single Player,9.3,4 v, http://indiedb.com/games/the-legend-of-vraz
11316,True, False, False,Multimedia Fusion,Released 2009,Rhythm,Horror,Single Player,1.0,2 v, http://indiedb.com/games/zombie-slaughter-tour-2009
11317,True, False, False,Custom Built,Released 2009,Fighting,Sci-Fi,Single & Multiplayer,7.0,3 v, http://indiedb.com/games/graviton
11318,True, False, False,Ogre Engine,Released 2009,Platformer,Sci-Fi,Single Player,9.8,4 v, http://indiedb.com/games/thriceball
